EXPIREDATE,ISSUEDATE,WARNINGTYPE,POLYGON,MEAN
2002-02-01 00:30:00.0,2002-02-01 00:05:00.0,severe-thunderstorm,"[[[-91.35, 31.95], [-91.16, 31.87], [-90.74, 31.93], [-90.79, 32.15], [-91.35, 31.95]]]","[[-91.078, 31.97]]"
2002-02-01 02:15:00.0,2002-02-01 00:14:00.0,flash-flood,"[[[-91.6322974277285, 31.0013650074093], [-91.6277732104017, 31.0119601110946], [-91.5727876169466, 31.032647877549], [-91.552081308545, 31.0581597906819], [-91.5649752722808, 31.0821350184803], [-91.6201139178138, 31.1276943834946], [-91.5914883087676, 31.1784818992551], [-91.6009643646854, 31.2139296737496], [-91.636998739959, 31.241104186479], [-91.6436824254271, 31.2711178839201], [-91.634214237565, 31.2776940549104], [-91.5569194773614, 31.2704690710127], [-91.5170781714622, 31.2830696578166], [-91.5024753378186, 31.2988580123244], [-91.5057561590215, 31.3234567034819], [-91.5427900456635, 31.3469862680809], [-91.5444076356665, 31.3688746277826], [-91.534573237599, 31.3827500700431], [-91.5593769120174, 31.3882304242528], [-91.5677314723038, 31.4214064364688], [-91.5524724466605, 31.4330997709492], [-91.5348024158407, 31.434335247521], [-91.5341690214585, 31.4092388142744], [-91.5230145322414, 31.3920917852495], [-91.4947087573411, 31.3752496098054], [-91.4808380383191, 31.3777805832693], [-91.4659221569407, 31.4040690532825], [-91.4732924895748, 31.4203746865528], [-91.5079007172192, 31.4530834240658], [-91.506481902402, 31.5256872825259], [-91.5029570558284, 31.5348804964065], [-91.4644730285793, 31.5428664076677], [-91.4235780361348, 31.5627464662349], [-91.404252162172, 31.5863534317346], [-91.4153838994301, 31.6025923876789], [-91.4971510160937, 31.6043585245596], [-91.5088777626843, 31.621946112804], [-91.5078096575379, 31.6438707722357], [-91.4977690885564, 31.6508953247071], [-91.4573776301659, 31.6269660621133], [-91.4084028346628, 31.6255298775261], [-91.3891838304294, 31.6546051479529], [-91.3879480650132, 31.716682847539], [-91.3650745397498, 31.7517413813867], [-91.3704992222101, 31.7534751058186], [-91.3399120227254, 31.7585428158009], [-91.2826210069941, 31.7498875713679], [-91.2639894905689, 31.7597635597382], [-91.2626849165052, 31.7739271210982], [-91.3362574528706, 31.7636219421964], [-91.3671346354039, 31.7708677200763], [-91.3472366701502, 31.7958323053943], [-91.3348464016758, 31.8434784170896], [-91.3034734879704, 31.863144546493], [-91.2926470392426, 31.8614928392569], [-91.2768000889638, 31.8275334941804], [-91.2507295828595, 31.8188210015347], [-91.2413834145028, 31.8353877405104], [-91.2646921176812, 31.8655859136312], [-91.2444813396436, 31.8786718608009], [-91.2015421481539, 31.914448862447], [-91.1631429199385, 31.9884481049272], [-91.1081106350256, 31.9919842773777], [-91.0724881293938, 32.0212135515791], [-91.0732434735012, 32.0321499472516], [-91.086992022729, 32.0438110998955], [-91.1431229851656, 32.0662598368965], [-91.1456941711085, 32.085828620503], [-91.125727524233, 32.0883996668359], [-91.0894106198667, 32.0569980949997], [-91.0651179868997, 32.0587070505858], [-91.0739225856783, 32.0941482900527], [-91.0411916486593, 32.1078235881288], [-91.0113905060031, 32.1342128745109], [-91.0039364614505, 32.1694138145198], [-91.0245210933432, 32.1700508264511], [-91.0545816942883, 32.1846835164502], [-91.045418520229, 32.1588244987585], [-91.0541543655413, 32.1345446969889], [-91.0831163105895, 32.148731083052], [-91.1088203873902, 32.1351435271569], [-91.1566502997803, 32.1449354980044], [-91.1669578883395, 32.1721410581455], [-91.1573751424246, 32.2060145228895], [-91.1160609494648, 32.225755012482], [-91.1148326038111, 32.2453772047259], [-91.1394532457919, 32.2568704558894], [-91.1917998447396, 32.2460713680284], [-91.2341364082969, 32.2240077998717], [-91.260435589399, 32.2372748767713], [-91.2996822060116, 32.2234355635499], [-91.309181055682, 32.2123427652926], [-91.4857526800222, 32.2112020956817], [-91.4864394467359, 32.173350041398], [-91.503278084458, 32.1320190941483], [-91.4999516469311, 32.1074570192441], [-91.4839981841459, 32.0967952843411], [-91.4990896014704, 32.0728206549673], [-91.5026069441044, 32.0403814958463], [-91.4908956002304, 32.0041048584162], [-91.5073145091937, 31.9910456525755], [-91.5153636964587, 31.9671873518759], [-91.5017829157035, 31.9423447822072], [-91.5147684812042, 31.9220436163263], [-91.5368409737943, 31.9198236498177], [-91.5532904204701, 31.9085764387504], [-91.5667185229665, 31.8850691437811], [-91.5657799595402, 31.8066241283824], [-91.5295009368958, 31.757556831099], [-91.5408385295969, 31.7372746009401], [-91.5657874774524, 31.7441182837601], [-91.5927811988419, 31.7673436737419], [-91.633508132069, 31.7387460102961], [-91.6646599204927, 31.7354104308416], [-91.6870148556191, 31.7454716461589], [-91.7078736274738, 31.6811807001195], [-91.7025554077226, 31.644322120884], [-91.7358584018313, 31.6231250109396], [-91.7494391498675, 31.6278744023441], [-91.7586253841326, 31.6486830493061], [-91.7732589032473, 31.6524939864431], [-91.8118412277544, 31.6284282350924], [-91.8213854996463, 31.6049553076368], [-91.8182111671785, 31.5694205247623], [-91.7897756378874, 31.5522050073874], [-91.7772247192005, 31.5264430973748], [-91.7793607498906, 31.5067713229847], [-91.8007766273467, 31.4857893167707], [-91.7801080940747, 31.4761705236464], [-91.7315993787813, 31.4693872743487], [-91.7203837628116, 31.4518072738263], [-91.7302868176722, 31.4411094127577], [-91.7953973513695, 31.4475515597064], [-91.8274649287558, 31.4989328411456], [-91.8373071183351, 31.5051182962421], [-91.8472940952417, 31.4976055643112], [-91.8502229496781, 31.4322595928637], [-91.8433790766649, 31.4182484582736], [-91.8296610563844, 31.4075787875826], [-91.7876833777065, 31.4025103658723], [-91.7718901818808, 31.3941579830138], [-91.7781615768572, 31.3880947567763], [-91.8310950858551, 31.3828925956113], [-91.8534873953004, 31.3600492843329], [-91.8500077126504, 31.3140012721433], [-91.810334091071, 31.2942807154065], [-91.8307351312791, 31.2774149445113], [-91.7760618097679, 31.2374399888239], [-91.7442620482175, 31.2294054302031], [-91.7208393084566, 31.2143464811787], [-91.6893446918061, 31.2172524808452], [-91.6767253890641, 31.2056251116192], [-91.682004847815, 31.1831397652713], [-91.7035046849873, 31.167187371015], [-91.7117900985789, 31.1377879930425], [-91.6941886940632, 31.1194067004099], [-91.7134682991982, 31.1012073690908], [-91.7061133462572, 31.0862766552325], [-91.7107442445686, 31.0601444357991], [-91.6404460169667, 31.0473564346267], [-91.6419565000367, 31.0235683205399], [-91.6581459793429, 30.9898987013302], [-91.6322974277285, 31.0013650074093]]]","[[-91.49310716851394, 31.64828565142201]]"
2002-02-01 01:15:00.0,2002-02-01 00:33:00.0,severe-thunderstorm,"[[[-90.26, 33.08], [-90.58, 32.29], [-90.23, 32.28], [-89.89, 33.07], [-90.26, 33.08]]]","[[-90.244, 32.760000000000005]]"
2002-02-01 02:00:00.0,2002-02-01 01:13:00.0,severe-thunderstorm,"[[[-90.82, 32.13], [-90.87, 31.91], [-90.45, 32.01], [-90.41, 32.38], [-90.82, 32.13]]]","[[-90.67399999999999, 32.112]]"
2002-02-01 02:00:00.0,2002-02-01 01:15:00.0,severe-thunderstorm,"[[[-90.03, 32.79], [-90.1, 32.6], [-89.74, 32.72], [-89.78, 32.88], [-90.03, 32.79]]]","[[-89.93599999999999, 32.756]]"
2002-02-01 02:30:00.0,2002-02-01 01:51:00.0,severe-thunderstorm,"[[[-90.15, 32.35], [-90.23, 32.13], [-89.75, 32.25], [-89.79, 32.49], [-90.15, 32.35]]]","[[-90.01400000000001, 32.314]]"
2002-02-01 02:45:00.0,2002-02-01 01:54:00.0,tornado,"[[[-88.49, 36.5], [-88.41, 36.33], [-87.99, 36.37], [-88.06, 36.5], [-88.49, 36.5]]]","[[-88.288, 36.44]]"
2002-02-01 02:15:00.0,2002-02-01 02:01:00.0,severe-thunderstorm,"[[[-90.22, 32.4], [-90.29, 32.18], [-90.23, 32.17], [-90.19, 32.28], [-90.12, 32.4], [-90.22, 32.4]]]","[[-90.21166666666666, 32.305]]"
2002-02-01 02:30:00.0,2002-02-01 02:02:00.0,severe-thunderstorm,"[[[-88.43, 36.52], [-88.27, 36.39], [-87.96, 36.54], [-88.11, 36.72], [-88.43, 36.52]]]","[[-88.24, 36.538]]"
2002-02-01 04:30:00.0,2002-02-01 02:20:00.0,flash-flood,"[[[-88.87, 36.91], [-89.07, 36.9], [-89.1, 36.82], [-88.86, 36.8], [-88.87, 36.91]]]","[[-88.954, 36.868]]"
